building class,material,material_weight
commercial,aluminum,1201140.0863220836
commercial,brass,171706.25900000002
commercial,copper,145410679.69140708
commercial,fiberglass,140730.94091762818
commercial,mineral wool,3054560.7521133767
commercial,other electronics,85853.12950000001
commercial,pex,2873468.9914213493
commercial,plastic,115493687.47420326
commercial,polyurethane foam,2687061.9456359157
commercial,porcelain,654802379.75
commercial,pvc,613099877.121947
commercial,refrigerant,21518.498388042204
commercial,steel,223005527.06071606
commercial,zinc coating,1547245.401005927
institutional,aluminum,821912.3325690941
institutional,brass,61013.68500000001
institutional,copper,26193812.26781635
institutional,fiberglass,102457.67178830662
institutional,mineral wool,1248772.9299796408
institutional,other electronics,30506.842500000006
institutional,pex,947124.0544700511
institutional,plastic,20286421.19872058
institutional,polyurethane foam,2071552.668994745
institutional,porcelain,108580809.0
institutional,pvc,98332674.02502781
institutional,refrigerant,9916.375805978898
institutional,steel,35337293.182572626
institutional,zinc coating,209001.44409083622
other,aluminum,348833.1999390387
other,brass,209452.31600000005
other,copper,1193213851.1326363
other,mineral wool,523630.79000000004
other,other electronics,104726.15800000001
other,pex,39635865.846809804
other,plastic,801831126.7319695
other,porcelain,4625327331.75
other,pvc,4334791229.145426
other,refrigerant,34845.220984759675
other,steel,1077347365.00975
other,zinc coating,6753839.230937944
residential,acrylic,990350372.2
residential,aluminum,6583215.275030481
residential,brass,1571058.4670000002
residential,cast iron,84242428.7
residential,copper,116277971.82541375
residential,mineral wool,3927646.1675000004
residential,other electronics,785529.2335
residential,pex,7726877.733653489
residential,plastic,158577238.72151524
residential,porcelain,266923805.75
residential,pvc,654682469.4797671
residential,refrigerant,1253039.2020076201
residential,steel,263445715.23998764
residential,zinc coating,1248739.1819538819
